geonameid,name,population,latitude,longitude,feature_code,feature_class,admin2_code
760914,Puńsk,1210,54.25114,23.18124,PPL,P,2009
760917,Pułtusk,19039,52.7025,21.08276,PPLA2,P,1424
760924,Puławy,49759,51.41655,21.96939,PPLA2,P,0614
760925,Puławy,140,49.49712,21.92296,PPL,P,1807
760949,Puchały,263,52.15008,20.90149,PPL,P,1421
760951,Puchaczów,817,51.3105,22.9737,PPLA3,P,0610
760976,Psary,530,52.71436,21.19117,PPL,P,1424
760977,Psary,60,51.87713,20.31115,PPL,P,1015
760978,Psary,330,51.56373,21.61697,PPL,P,1407
760979,Psary,311,51.34884,20.14832,PPL,P,1007
760987,Przytyk,990,51.46567,20.90587,PPLA3,P,1425
760993,Przytuły,230,53.36781,22.3098,PPL,P,2007
760994,Przytuły,313,53.06185,21.16662,PPL,P,1411
760999,Przytoczno,1100,51.61951,22.27135,PPL,P,0608
